user,condition,task,time,event,note
1,X,1,90.39,drag,
1,X,1,99.77,drag,repeat
1,X,2,119.35,drag (robots) + press&hold (wall),
1,X,3,140.57,doubletap,
1,X,3,146.44,doubletap,while dragging
1,X,4,169.69,2h drag apart,
1,X,5,192.82,2h drag,different paths
1,X,5,199.83,drag drag,
1,X,6,218.57,drag drag,
1,X,6,219.63,2h drag,
1,X,7,249.86,drag drag,
1,X,8,265.9,rev. finger pinch, no thumb one hand
1,X,9,283.48,2h pinch,both to center
1,X,10,315.56,tap&hold drag(draw line),2 hands
1,X,11,339.95,tap&hold drag(draw square),
1,X,11,347.34,tap&hold drag(draw square),larger sq as two segments  
1,X,12,379.82,tap tap, on box
1,X,12,382.64,drag, 
1,X,12,389.05,doubletap,on box
1,X,13,408.34,doubletap,box
1,X,13,411.34,lasso,small swarm
1,X,13,412.94,drag,
1,X,14,438.41,drag,
1,X,15,484.36,3f doubletap,
1,X,15,487.04,3f drag,
1,X,16,502.76,doubletap,open area
1,X,16,506.22,3f drag,short distance any direction
