user,condition,task,time,event,note
3,10,1,91.30,box select,
3,10,1,98.31,drag,
3,10,2,164.67,box select,
3,10,2,178.41,drag,
3,10,2,184.81,drag,
3,10,3,223.14,asks for context menu "extra moves",
3,10,3,236.89,robots with names for individual reference,
3,10,4,263.04,box select,
3,10,4,278.57,restart,
3,10,4,283.22,box select,
3,10,4,288.7,drag, or was it two drags?
3,10,4,290.41,box select,
3,10,4,293.85,drag,or was it two drags?
3,10,4,300.05,context menu; how many selected;+/- button; "ok" to show selection,
3,10,5,343.95,box select,orange
3,10,5,348.5,tap,
3,10,5,349.09,drag,
3,10,5,351.51,box select,red
3,10,5,353.5,tap;tap,
3,10,5,355.6,wait for orange to clear area,
3,10,5,365.73,path planning or communication so robots don't collide,
3,10,5,382.26,select by color button,
3,10,5,394.47,box select,with snap-to-color function,
3,10,5,451.61,confirm popup for sloppy/multicolor selection,
3,10,6,465.98,box select,
3,10,6,469.45,tap;tap,
3,10,6,473.45,box select,
3,10,6,475.17,tap;tap,
3,10,6,480.91,use menu counter to select,
3,10,6,503.82,button to autoselect by color; doubletap,
3,10,7,559.9,"tapping doesn't scale",
3,10,7,569.34,color counter menu buttons,
3,10,7,585.26,select all by color button,
3,10,7,602.32,tap;tap,
3,10,7,604.37,tap;tap,
3,10,8,629.51,box select,
3,10,8,650.79,color counter button,
3,10,8,661.35,designate group button,
3,10,8,666.89,name groups automatically,
3,10,8,708.23,box select; box select, demonstration
3,10,9,736.6,box select,automatically converge on center
3,10,9,761.63,tap;tap;combine button or menu,
3,10,9,772.31,tap;tap;tap;tap, lots of taps incrementing counter
3,10,9,776.29,"make group" button,
3,10,10,809.97,box select,
3,10,10,820.1,popup with settings; menu for formation,
3,10,11,903.68,select buttions,
3,10,11,907.23,tap;tap,menu
3,10,11,914.84,tap,menu
3,10,11,923.8,tap;tap,menu
3,10,11,933.32,tap;tap;tap;tap;tap,menu
3,10,11,945.99,mouse or other button,
3,10,11,949.95,control-click to click one and select all of that type,
3,10,12,988.54,box select,
3,10,12,1006.27,tap (menu); extra actions "move object",
3,10,12,1031.85,tap (box),
3,10,12,1064.60,select "move" menu,
3,10,12,1065.9,tap,area A
3,10,12,1069.02,tap;tap,box;area A;demonstrating
3,10,12,1070.93,tap;tap,box;area A;demonstrating
3,10,12,1149.0,tap;tap,selecting menu
3,10,12,1151.12,tap (box); tap (menu),
3,10,12,1152.78,tap (area A),
3,10,13,1195.02,menu;tap(crate),
3,10,13,1196.63,tap (area A),
3,10,14,1275,55,pop-up menu,
3,10,14,1299.15,select on menu, didn't actually tap
3,10,14,1319.5,box select,self diagnostics
3,10,15,1363.51,tap (robot),
3,10,15,1374.11,box select,
3,10,15,1388.79,tap;tap(free space),
3,10,16,1465.0,select all,
3,10,16,1476.13,menu "patrol" action,
3,10,16,1491.02,"known edge" button,
3,10,16,1561.18,"patrol speed" etc. params,
3,10,17,1595.26,box select,
3,10,17,1603.54,tap(menu);tap(menu),
3,10,17,1608.95,drag(area & distance),
3,10,17,1619.07,drag(shape;no contact),
3,10,18,1699.08,box select,
3,10,18,1710.65,tap(menu);tap(special action),
3,10,18,1759.8,tap(disperse menu),
