user,condition,task,time,event,note
10,1000,1,203.41,2f drag,
10,1000,1,210.42,2f drag,
10,1000,1,256.31,2f drag,no contact
10,1000,2,268,sweep(R),no contact
10,1000,2,268.96,sweep (up),no contact
10,1000,2,269.6,sweep (L), no contact
10,1000,3,285,palm up and pull back, no contact
10,1000,3,300.23,palm up and pull back, no contact; repeat
10,1000,4,317.15,sweep with 2f (to A),
10,1000,4,318.91,sweep with 2f (to B),
10,1000,5,344.78,2f drag,
10,1000,5,353.92,2f drag,
10,1000,6,364.27,2f drag,
10,1000,6,366.34,2f drag,
10,1000,7,378.83,2f drag,
10,1000,7,386.83,2f drag,
10,1000,8,389.83,2h spread, fingers crooked like opening a bag
10,1000,8,390.78,2h spread, hands flat
10,1000,9,399.38,2h unspread, like closing a book hands flat
10,1000,10,442.03,parallel hands, voice command
10,1000,10,446.01,parallel hands, voice command; demo;repeat
10,1000,10,448.69,parallel hands, voice command; demo;repeat
10,1000,10,445.06,parallel hands, voice command; demo;repeat multiple
10,1000,11,485.31,drag (draw sq),
10,1000,12,519.57,2f drag,
10,1000,12,522.3,2f drag,
10,1000,12,525.98,2f drag,
10,1000,12,527.18,2f drag,
10,1000,13,539.74,2h cup, like scooping beans
10,1000,13,542.63,drag(behind box);drag(towards A),
10,1000,13,546.64,drag(behind box and then towards A),
10,1000,13,547.54,drag(to A),
10,1000,13,550.15,2h cup, like scooping beans; repeat/demo
10,1000,13,551,2h cup, like scooping beans; repeat/demo
10,1000,14,578,circle fist over robot;doubletap,
10,1000,14,581.07,circle fist over robot;doubletap,demo/repeat
10,1000,15,594.13,scoop/pull 2h, some accidental contact
10,1000,15,596.95,scoop/pull 2h;push(L;open hand),
10,1000,16,623.77,opening fists spread,
10,1000,16,626.62,2h sweep (screen perimeter),
10,1000,17,641.69,opening fists spread;2h sweep (area A),
10,1000,18,654.92,opening fists spread,two fists together thumbs up; open hands while moving apart
