user,condition,task,time,event,note
5,1000,1,95.0,drag,
5,1000,1,109.57,drag,repeat
5,1000,2,131.24,drag,
5,1000,3,159.38,drag,wall block drag back
5,1000,4,183.93,drag,
5,1000,4,191.29,drag,
5,1000,5,235.59,drag,orange
5,1000,5,242.04,drag,red
5,1000,6,260.45,drag,orange
5,1000,6,263.51,drag,red
5,1000,7,328.92,drag,no select
5,1000,7,332.39,drag,no attempt to seperate
5,1000,8,395.52,drag,preceeded by non-touching split gestures todo recode
5,1000,8,399.52,drag,
5,1000,9,417.53,drag,
5,1000,9,419.88,drag,
5,1000,10,444.03,drag,move and draw line in one motion
5,1000,11,471.60,drag(draw box),
5,1000,12,554.34,drag(robots behind crate),assumes only robots can move crate
5,1000,12,556.62,drag(to A),
5,1000,13,584.02,drag(behind crate),
5,1000,13,587.2,drag(to A),
5,1000,14,610.8,lasso
5,1000,15,629.2,drag,out of group
5,1000,16,663.52,drag,screen edge
5,1000,17,680.59,drag (to and around A),
5,1000,18,710.522,drag,scribble over screen
